Year,State,low_value_num,CPI_Average,north_east,mid_west,west,years_since_1996,low_value
1997,Alabama,0,160.5166667,0,0,0,1,0
1997,Alaska,5.25,160.5166667,0,0,1,1,5.25
1997,Arizona,0,160.5166667,0,0,1,1,0
1997,Arkansas,4.25,160.5166667,0,0,0,1,4.25
1997,California,4.75,160.5166667,0,0,1,1,4.75
1997,Colorado,4.75,160.5166667,0,0,1,1,4.75
1997,Connecticut,4.77,160.5166667,1,0,0,1,4.77
1997,Delaware,5,160.5166667,0,0,0,1,5
1997,District of Columbia,5.75,160.5166667,0,0,0,1,5.75
1997,Florida,0,160.5166667,0,0,0,1,0
1997,Georgia,3.25,160.5166667,0,0,0,1,3.25
1997,Hawaii,5.25,160.5166667,0,0,1,1,5.25
1997,Idaho,4.25,160.5166667,0,0,1,1,4.25
1997,Illinois,4.75,160.5166667,0,1,0,1,4.75
1997,Indiana,3.35,160.5166667,0,1,0,1,3.35
1997,Iowa,4.75,160.5166667,0,1,0,1,4.75
1997,Kansas,2.65,160.5166667,0,1,0,1,2.65
1997,Kentucky,4.25,160.5166667,0,0,0,1,4.25
1997,Louisiana,0,160.5166667,0,0,0,1,0
1997,Maine,4.75,160.5166667,1,0,0,1,4.75
1997,Maryland,4.75,160.5166667,0,0,0,1,4.75
1997,Massachusetts,5.25,160.5166667,1,0,0,1,5.25
1997,Michigan,3.35,160.5166667,0,1,0,1,3.35
1997,Minnesota,4.25,160.5166667,0,1,0,1,4.25
1997,Mississippi,0,160.5166667,0,0,0,1,0
1997,Missouri,4.75,160.5166667,0,1,0,1,4.75
1997,Montana,4.75,160.5166667,0,0,1,1,4.75
1997,Nebraska,4.25,160.5166667,0,1,0,1,4.25
1997,Nevada,4.75,160.5166667,0,0,1,1,4.75
1997,New Hampshire,4.75,160.5166667,1,0,0,1,4.75
1997,New Jersey,5.05,160.5166667,1,0,0,1,5.05
1997,New Mexico,4.25,160.5166667,0,0,1,1,4.25
1997,New York,4.25,160.5166667,1,0,0,1,4.25
1997,North Carolina,4.25,160.5166667,0,0,0,1,4.25
1997,North Dakota,4.75,160.5166667,0,1,0,1,4.75
1997,Ohio,4.25,160.5166667,0,1,0,1,4.25
1997,Oklahoma,4.75,160.5166667,0,0,0,1,4.75
1997,Oregon,5.5,160.5166667,0,0,1,1,5.5
1997,Pennsylvania,4.75,160.5166667,1,0,0,1,4.75
1997,Rhode Island,5.15,160.5166667,1,0,0,1,5.15
1997,South Carolina,0,160.5166667,0,0,0,1,0
1997,South Dakota,4.25,160.5166667,0,1,0,1,4.25
1997,Tennessee,0,160.5166667,0,0,0,1,0
1997,Texas,3.35,160.5166667,0,0,0,1,3.35
1997,Utah,4.75,160.5166667,0,0,1,1,4.75
1997,Vermont,5,160.5166667,1,0,0,1,5
1997,Virginia,4.75,160.5166667,0,0,0,1,4.75
1997,Washington,4.9,160.5166667,0,0,1,1,4.9
1997,West Virginia,4.25,160.5166667,0,0,0,1,4.25
1997,Wisconsin,4.75,160.5166667,0,1,0,1,4.75
1997,Wyoming,1.6,160.5166667,0,0,1,1,1.6
1998,Alabama,0,163.0083333,0,0,0,2,0
1998,Alaska,5.65,163.0083333,0,0,1,2,5.65
1998,Arizona,0,163.0083333,0,0,1,2,0
1998,Arkansas,5.15,163.0083333,0,0,0,2,5.15
1998,California,5.15,163.0083333,0,0,1,2,5.15
1998,Colorado,5.15,163.0083333,0,0,1,2,5.15
1998,Connecticut,5.18,163.0083333,1,0,0,2,5.18
1998,Delaware,5.15,163.0083333,0,0,0,2,5.15
1998,District of Columbia,6.15,163.0083333,0,0,0,2,6.15
1998,Florida,0,163.0083333,0,0,0,2,0
1998,Georgia,3.25,163.0083333,0,0,0,2,3.25
1998,Hawaii,5.25,163.0083333,0,0,1,2,5.25
1998,Idaho,5.15,163.0083333,0,0,1,2,5.15
1998,Illinois,5.15,163.0083333,0,1,0,2,5.15
1998,Indiana,3.35,163.0083333,0,1,0,2,3.35
1998,Iowa,5.15,163.0083333,0,1,0,2,5.15
1998,Kansas,2.65,163.0083333,0,1,0,2,2.65
1998,Kentucky,4.25,163.0083333,0,0,0,2,4.25
1998,Louisiana,0,163.0083333,0,0,0,2,0
1998,Maine,5.15,163.0083333,1,0,0,2,5.15
1998,Maryland,5.15,163.0083333,0,0,0,2,5.15
1998,Massachusetts,5.25,163.0083333,1,0,0,2,5.25
1998,Michigan,5.15,163.0083333,0,1,0,2,5.15
1998,Minnesota,5.15,163.0083333,0,1,0,2,5.15
1998,Mississippi,0,163.0083333,0,0,0,2,0
1998,Missouri,5.15,163.0083333,0,1,0,2,5.15
1998,Montana,5.15,163.0083333,0,0,1,2,5.15
1998,Nebraska,5.15,163.0083333,0,1,0,2,5.15
1998,Nevada,5.15,163.0083333,0,0,1,2,5.15
1998,New Hampshire,5.15,163.0083333,1,0,0,2,5.15
1998,New Jersey,5.05,163.0083333,1,0,0,2,5.05
1998,New Mexico,4.25,163.0083333,0,0,1,2,4.25
1998,New York,4.25,163.0083333,1,0,0,2,4.25
1998,North Carolina,5.15,163.0083333,0,0,0,2,5.15
1998,North Dakota,5.15,163.0083333,0,1,0,2,5.15
1998,Ohio,4.25,163.0083333,0,1,0,2,4.25
1998,Oklahoma,5.15,163.0083333,0,0,0,2,5.15
1998,Oregon,6,163.0083333,0,0,1,2,6
1998,Pennsylvania,5.15,163.0083333,1,0,0,2,5.15
1998,Rhode Island,5.15,163.0083333,1,0,0,2,5.15
1998,South Carolina,0,163.0083333,0,0,0,2,0
1998,South Dakota,5.15,163.0083333,0,1,0,2,5.15
1998,Tennessee,0,163.0083333,0,0,0,2,0
1998,Texas,3.35,163.0083333,0,0,0,2,3.35
1998,Utah,5.15,163.0083333,0,0,1,2,5.15
1998,Vermont,5.25,163.0083333,1,0,0,2,5.25
1998,Virginia,5.15,163.0083333,0,0,0,2,5.15
1998,Washington,4.9,163.0083333,0,0,1,2,4.9
1998,West Virginia,4.75,163.0083333,0,0,0,2,4.75
1998,Wisconsin,5.15,163.0083333,0,1,0,2,5.15
1998,Wyoming,1.6,163.0083333,0,0,1,2,1.6
1999,Alabama,0,166.575,0,0,0,3,0
1999,Alaska,5.65,166.575,0,0,1,3,5.65
1999,Arizona,0,166.575,0,0,1,3,0
1999,Arkansas,5.15,166.575,0,0,0,3,5.15
1999,California,5.15,166.575,0,0,1,3,5.15
1999,Colorado,5.15,166.575,0,0,1,3,5.15
1999,Connecticut,5.18,166.575,1,0,0,3,5.18
1999,Delaware,5.15,166.575,0,0,0,3,5.15
1999,District of Columbia,6.15,166.575,0,0,0,3,6.15
1999,Florida,0,166.575,0,0,0,3,0
1999,Georgia,3.25,166.575,0,0,0,3,3.25
1999,Hawaii,5.25,166.575,0,0,1,3,5.25
1999,Idaho,5.15,166.575,0,0,1,3,5.15
1999,Illinois,5.15,166.575,0,1,0,3,5.15
1999,Indiana,3.35,166.575,0,1,0,3,3.35
1999,Iowa,5.15,166.575,0,1,0,3,5.15
1999,Kansas,2.65,166.575,0,1,0,3,2.65
1999,Kentucky,4.25,166.575,0,0,0,3,4.25
1999,Louisiana,0,166.575,0,0,0,3,0
1999,Maine,5.15,166.575,1,0,0,3,5.15
1999,Maryland,5.15,166.575,0,0,0,3,5.15
1999,Massachusetts,5.25,166.575,1,0,0,3,5.25
1999,Michigan,5.15,166.575,0,1,0,3,5.15
1999,Minnesota,5.15,166.575,0,1,0,3,5.15
1999,Mississippi,0,166.575,0,0,0,3,0
1999,Missouri,5.15,166.575,0,1,0,3,5.15
1999,Montana,5.15,166.575,0,0,1,3,5.15
1999,Nebraska,5.15,166.575,0,1,0,3,5.15
1999,Nevada,5.15,166.575,0,0,1,3,5.15
1999,New Hampshire,5.15,166.575,1,0,0,3,5.15
1999,New Jersey,5.05,166.575,1,0,0,3,5.05
1999,New Mexico,4.25,166.575,0,0,1,3,4.25
1999,New York,4.25,166.575,1,0,0,3,4.25
1999,North Carolina,5.15,166.575,0,0,0,3,5.15
1999,North Dakota,5.15,166.575,0,1,0,3,5.15
1999,Ohio,4.25,166.575,0,1,0,3,4.25
1999,Oklahoma,5.15,166.575,0,0,0,3,5.15
1999,Oregon,6,166.575,0,0,1,3,6
1999,Pennsylvania,5.15,166.575,1,0,0,3,5.15
1999,Rhode Island,5.15,166.575,1,0,0,3,5.15
1999,South Carolina,0,166.575,0,0,0,3,0
1999,South Dakota,5.15,166.575,0,1,0,3,5.15
1999,Tennessee,0,166.575,0,0,0,3,0
1999,Texas,3.35,166.575,0,0,0,3,3.35
1999,Utah,5.15,166.575,0,0,1,3,5.15
1999,Vermont,5.25,166.575,1,0,0,3,5.25
1999,Virginia,5.15,166.575,0,0,0,3,5.15
1999,Washington,4.9,166.575,0,0,1,3,4.9
1999,West Virginia,4.75,166.575,0,0,0,3,4.75
1999,Wisconsin,5.15,166.575,0,1,0,3,5.15
1999,Wyoming,1.6,166.575,0,0,1,3,1.6
2000,Alabama,0,172.2,0,0,0,4,0
2000,Alaska,5.65,172.2,0,0,1,4,5.65
2000,Arizona,0,172.2,0,0,1,4,0
2000,Arkansas,5.15,172.2,0,0,0,4,5.15
2000,California,5.75,172.2,0,0,1,4,5.75
2000,Colorado,5.15,172.2,0,0,1,4,5.15
2000,Connecticut,6.15,172.2,1,0,0,4,6.15
2000,Delaware,5.65,172.2,0,0,0,4,5.65
2000,District of Columbia,6.15,172.2,0,0,0,4,6.15
2000,Florida,0,172.2,0,0,0,4,0
2000,Georgia,3.25,172.2,0,0,0,4,3.25
2000,Hawaii,5.25,172.2,0,0,1,4,5.25
2000,Idaho,5.15,172.2,0,0,1,4,5.15
2000,Illinois,5.15,172.2,0,1,0,4,5.15
2000,Indiana,5.15,172.2,0,1,0,4,5.15
2000,Iowa,5.15,172.2,0,1,0,4,5.15
2000,Kansas,2.65,172.2,0,1,0,4,2.65
2000,Kentucky,5.15,172.2,0,0,0,4,5.15
2000,Louisiana,0,172.2,0,0,0,4,0
2000,Maine,5.15,172.2,1,0,0,4,5.15
2000,Maryland,5.15,172.2,0,0,0,4,5.15
2000,Massachusetts,6,172.2,1,0,0,4,6
2000,Michigan,5.15,172.2,0,1,0,4,5.15
2000,Minnesota,4.9,172.2,0,1,0,4,4.9
2000,Mississippi,0,172.2,0,0,0,4,0
2000,Missouri,5.15,172.2,0,1,0,4,5.15
2000,Montana,4,172.2,0,0,1,4,4
2000,Nebraska,5.15,172.2,0,1,0,4,5.15
2000,Nevada,5.15,172.2,0,0,1,4,5.15
2000,New Hampshire,5.15,172.2,1,0,0,4,5.15
2000,New Jersey,5.15,172.2,1,0,0,4,5.15
2000,New Mexico,4.25,172.2,0,0,1,4,4.25
2000,New York,4.25,172.2,1,0,0,4,4.25
2000,North Carolina,5.15,172.2,0,0,0,4,5.15
2000,North Dakota,5.15,172.2,0,1,0,4,5.15
2000,Ohio,2.8,172.2,0,1,0,4,2.8
2000,Oklahoma,2,172.2,0,0,0,4,2
2000,Oregon,6.5,172.2,0,0,1,4,6.5
2000,Pennsylvania,5.15,172.2,1,0,0,4,5.15
2000,Rhode Island,5.65,172.2,1,0,0,4,5.65
2000,South Carolina,0,172.2,0,0,0,4,0
2000,South Dakota,5.15,172.2,0,1,0,4,5.15
2000,Tennessee,0,172.2,0,0,0,4,0
2000,Texas,3.35,172.2,0,0,0,4,3.35
2000,Utah,5.15,172.2,0,0,1,4,5.15
2000,Vermont,5.75,172.2,1,0,0,4,5.75
2000,Virginia,5.15,172.2,0,0,0,4,5.15
2000,Washington,6.5,172.2,0,0,1,4,6.5
2000,West Virginia,5.15,172.2,0,0,0,4,5.15
2000,Wisconsin,5.15,172.2,0,1,0,4,5.15
2000,Wyoming,1.6,172.2,0,0,1,4,1.6
